㐁犁,伸犁
上毋了臺面,上不了臺面
上毋得,上不來
上毋得,上不去
上毋得臺盤,上不得臺盤
上泥,覆土
上滿,上次
上煎下煏,上下交迫
上禮拜,上星期
上禮拜日,前個星期天
上站仔,以前的
上篇上論个,上篇上論的
上粉,成熟
上粉上粉,成熟
上聯哪,上聯哪裡
上背,上方
上背,上面
上落下,往上掉下
上身,上半身
上輩人,老一輩的人
上鄰下舍,鄰居
上門个買賣好做,上門的買賣好做
上隻月,上個月
上面,恃寵而驕
上面,賴皮
上願,上癮
下,下方
下,往下
下,次
下下來,卸下來
下下來,脫下來
下下間,下下一間
下世,下輩子
下二擺,下一次
下二擺,下回
下二擺,下次
下二站,下一站
下向,下方向
下回,下次
下坪,下方坪
下坪莊頭,下坪庄頭
下坵,下面那塊
下坵吊,下方坵吊
下坵田,下畝田
下坵黃,下方坵黃
下埔莊頭,下埔庄頭
下夜,下半夜
下家,下一家
下崎,下坡
下帽仔,脫帽子
下後,之後
下後,以後
下後,往後
下後,後來
下後,稍後
下後正問,之後再問
下愚毋移,下愚不移
下把,偶爾
下把仔,偶爾
下把仔,有時
下擺,下次
下擺仔,下次
下新莊,下新庄
下晝,下午
下晝,午後
下晝仔,下午
下晝仔,下午時分
下晝兩點,下午兩點
下晝去改菜園,下午去菜園鬆土
下晝頭,下午
下晝頭,下午時分
下月初仔,下月初
下棚,散場
下次个,下次的
下次擺,下次
下次日,下次
下死个,下死的
下毋下,下不去
下毋下來,下不來
下毋了臺,下不了臺
下毋來臺,下不來臺
下毋為例,下不為例
下當晝,下方正午
下禮拜,下星期
下禮拜一補考,下方星期一補考
下禮拜一請假,下方星期一請假
下禮拜愛開會,下禮拜要開會
下禮拜放尞,下方星期放假
下禮拜放尞,下禮拜放假
下細茶,下小茶
下翼膜質,下翅膜質
下背,下方
下背,下面
下膈,胃部
下臺,下野
下落,責任感
下落上,責任感往上
下落來,下來
下課尞十分鐘,下課休息十分鐘
下貨,卸貨
下跍式起走,蹲踞式起跑
下身,下半身
下輪,下次
下轎時,下方轎時
下隻月,下個月
下面,下方臉
下項,下面
下𪘒,下巴
下𪘒,下頷
下𪘒,下顎
下𪘒,口腔的下部
不人,數落人
不但,不只
不得已,無可奈何
不慌不忙,從容不迫
不時,經常
不服,不服氣
不法,違法
不當,不適當
不知,不知道
不管,不論
不肯,不願意
不褡不膝,不三不四
不見奇,不見得奇特
不見奇,不見得高明
不論,無論
不足為奇,習以為常
且姆,親家母
且講,且說
且郎,伴郎
且郎,男儐相
世上無難事，正怕有心人,世上無難事，只怕有心人
世事,各種事情
世代,好幾代
世大人,長輩
世海厥人,世海他人
世間,人間
世間人,世人
世間人,全世界的人
丟下瓦磚兒，一个个要著地,丟下瓦磚兒，一個個要著地
丟丟滴滴,來來回回
丟丟滴滴,來回奔忙
丟丟滴滴,輕鬆愉快
丟啊去,丟過去
丟忒,丟掉
丟毋掉,丟不掉
丟竹,極快
丟籬橫壁,困苦
丟籬橫壁,雜亂
丟苦,極苦
丟苦,非常苦
丟著,丟到
丟酸,極酸
丟鑼䌈鼓,工作結束
並並絆絆,糾纏不清
並垂毋朽,並垂不朽
並存毋悖,並存不悖
並毋係,並不是
並無毋當,並無不當
並等,加起來
並等,總和
並行毋悖,並行不悖
个,的
个事情,的事情
个人,的人
个係,的是
个八仙,的八仙
个到繃緪,拉得很緊
个妹仔,的女兒
个手个腳,縮手縮腳
个村莊,的村莊
个樣,的樣
个消息,的消息
个石頭,的石頭
个結果,的結果
个縣議員,的縣議員
个認識,的認識
个頭路,的工作
中人,中間人
中人,仲介
中人錢,佣金
中午,當晝
中垂線,中垂腺
中度風搓,中度颱風
中意,合意
中意,喜好
中意,喜歡
中毋溜兒,中不溜兒
中氣毋足,中氣不足
中洋峎,中洋脊
中港溪底背,中港溪裡
中港溪底背,中港溪裡面
中港溪底背項,中港溪裡面
中港溪肚項,中港溪裡
中港溪肚項,中港溪裡面
中港溪肚項,中港溪裡頭
中澇翼仔,筒鳥
中白鶴仔,中白鷺
中看毋中食,中看不中吃
中秋,中秋節
中立毋倚,中立不倚
中篇細說,中篇小說
中細企業,中小企業
中細義,中小義
中著,中穿
中酒毒,酗酒
中醫生,中醫師
中鉤啜鳥,中杓鷸
中間坑莊頭,中間坑庄頭
中音笛仔,中嗩
中風,腦溢血
中食,中吃
丰標毋凡,丰標不凡
串空,穿洞
串線,穿線
丹墀坪,門前廣場
丹誠毋泯,丹誠不泯
主人講,主人說
主人間,主臥室
主固,穩固
主意,意見
主意,決斷
主意,點子
主招,主揪
主知講,主知說
主語,主詞
主題探討,主題探索
久久下來,久而久之
久假毋歸,久假不歸
久旱毋雨,久旱不雨
久長,長久
么二三个,么二三的
么麼細丑,么麼小丑
乍乍到,接二連三到來
乍猛个,乍猛的
乒乓,乒乓球
乒乓,桌球
乒乓,薜荔
乒乓仔,薜荔
乒拋子,木蓮
乖乖个,乖乖的
乖乖兒个,乖乖兒的
乖張,順從端莊
乖莊,溫順端莊
乖莊,順從
乘,乘法
乘人毋備,乘人不備
乘其毋備,乘其不備
乜,也
乜係,也是
乜做得,也可以
乜做得,也是可以
乜好,也好
乜忒,也忒
乜愛,也要
乜會,也會
乜會驚,也會怕
乜有,也有
乜無,也沒有
乜當,也很
九二一地動,九二一地震
九吊六个,九吊六的
九層粄,九層糕
九層粄,九重吹
九死毋悔,九死不悔
九湖莊頭,九湖庄頭
九牛拉毋轉,九牛拉不轉
九芎仔,九芎
九芎仔,九芎樹
九芎兒,九芎
九芎樹肚,九芎樹裡
九讚樹,青剛櫟
九里光,珍珠蒿
九隻,九個
九頭牛也拽毋出去,九頭牛也拽不出去
乞丐仔,乞丐
乞兒乘細車,乞兒乘小車
乞食,乞丐
乞食,討飯
乞食仔,乞丐
乞食仔也有三年好運,乞丐也有三年好運
乞食仔逐香公,乞丐趕廟公
乞食仔逐香公,喧賓奪主
乞食仔逐香公,恩將仇報
乞食碗,積雪草
乞食羅漢,流浪漢
乞食身，皇帝嘴,乞丐命皇帝嘴
乞食頭路,不好的職業
乞食骨,乞吃骨
也係,也是
也係,還是
也就係,也正是
也毋盡然,也不盡然
也毋見得,也不見得
乳,奶
乳仔草,細葉金午時花
乳哀,奶媽
乳姑排,乳姑排列
乳水足,奶水充足
乳牙,乳齒
乳珠,鈕頭
乳臊,乳臭
乳臭細子,乳臭小子
乳茶,奶茶
乳菇,乳房
乳菇牌,乳房牌
乾乾兒个,乾乾兒的
乾打雷，毋下雨,乾打雷，不下雨
乾敲梆子毋賣油,乾敲梆子不賣油
乾草堆項,乾草堆上
乾草堆項,乾草堆裡
亂,沒秩序
亂,隨便
亂交,濫交
亂撞亂羼,慌忙亂衝
亂極就平,亂極則平
亂用,濫用
亂用,過度使用
亂紛紛,亂糟糟
亂講話,隨便說話
亂鬨毋過來,亂鬨不過來
了了,滿滿都是
了了俐俐,乾淨俐落
了了漦漦,偷工減料
了了漦漦,十分簡陋
了了漦漦,簡陋
了了漦漦,談論禁忌
了嗬,了啊
了嗬,了喔
了大空,賠很多
了大空,賠慘了
了少,粗鄙
了少,粗野
了少,輕浮
了少,輕薄
了少,開黃腔
了少話,渾話
了少話,諢話
了少話,髒話
了尾子,敗家子
了後,以後
了忒,虧光
了忒,虧本
了撇,虧本
了歇,虧光
了毋得,了不得
了毋成,了不成
了毋起,了不起
了淨淨,敗光光
了然毋惑,了然不惑
了當毋得,了當不得
了解,懂
了解,懂得
了解,打聽
了解,探問
了解,明白
了解,是的
了解著,了解到
了錢,虧損
了錢,虧本
了錢,虧錢
了錢,賠本
了錢貨,賠錢貨
予細子,予小子
事,工作
事事,每一件事
事件,重大事情
事出毋意,事出不意
事出毋測,事出不測
事同人,事和人
事毋三思，終有後悔,事不三思，終有後悔
事毋宜遲,事不宜遲
事毋有餘,事不有餘
事毋關己，高高掛起,事不關己，高高掛起
事毋關心，關心者亂,事不關心，關心者亂
事無三毋成,事無三不成
事無毋可對人言,事無不可對人言
事緩就圓,事緩則圓
事頭,工作
二个,二的
二十外,二十多
二十零,二十多
二十餘,二十多
二姊嫂,二妯娌
二婚親,第二次婚事
二弦,二胡
二月仔,二月
二毋愣,二不愣
二毋稜登,二不稜登
二絃,高音椰胡
二話毋講,二話不說
二貨仔,二哥
二重奏,二部合奏
二門毋出,二門不出
二隻,二個
二韃子食螺螄,二韃子吃螺螄
亍,閒晃
亍上亍下,閒晃
亍著,閒晃穿
亍街,逛街
于係,于是
互毋侵犯,互不侵犯
互毋侵犯條約,互不侵犯條約
互毋相讓,互不相讓
互相,相互
互補色,對比色
五分車頭,五分車站
五十外,五十多
五十零,五十多
五峰國細陶笛隊,五峰國小陶笛隊
五月節,端午節
五朝,第五天
五次遷徙講,五次遷徙說
五毋五，六毋六,五不五，六不六
五湖莊頭,五湖庄頭
五爪金英,小向日葵
五爪龍,小向日葵
五爪龍,虎葛
五百年前係一家,五百年前是一家
五穀岡莊頭,五穀岡庄頭
五穀毋分,五穀不分
五穀毋升,五穀不升
五穀爺生,五穀爺生日
五細工業,五小工業
五色,多色
五金行,五金
五隻,五個
五音毋全,五音不全
五鶴山聯莊,五鶴山聯庄
五點鐘,五小時
五點鐘,五點
井唇,井邊
井水毋犯河水,井水不犯河水
井渫毋食,井渫不食
井肚,井裡
井肚,井裡面
井肚个蛤蟆,井底之蛙
井肚項,井裡面
井肚項,井裡頭
井脣,井旁邊
井脣,井邊
井脣方,井旁
井脣方,井旁邊
井脣方,井邊
井頭,井邊
井頭項,井的前方
井頭項,井邊
些个,些個
些細,些小
交,繳交
交卡著,相衝突
交工,換工
交干,繳交干
交手掞腳,抱胸
交換律,交換率
