㐁犁,伸犁
嫁撇,嫁掉
嫁著,嫁到
嫋絲嫋絲,不茂盛
嫌,嫌棄
嫌七嫌八,嫌東嫌西
嫌人,說人長短
嫌到臭屎,嫌到不行
嫌毋得,無可挑剔
嫌貨正係買貨人,嫌貨正是買貨人
嫠毋恤緯,嫠不恤緯
嫩嫩,很嫩
嫩竹仔,嫩竹
嫩習習,很細嫩
嫩習習,鮮嫩
嫩習習仔,幼嫩
嫩草,初生的幼草
嫩葉,幼葉
嫩葉仔,嫩葉
嫲仔,雌
嫲花,雌花
嫲花心,雌蕊
嬌女,愛女
嬌嫋毋勝,嬌嫋不勝
嬌尸,嬌柔
嬌尸沷辣,很會撒嬌
嬌細玲瓏,嬌小玲瓏
嬌遽,嬌小而矯捷
嬌雞仔,侍寵而驕
嬰人座,洋娃娃
嬰兒仔,嬰兒
嬰兒衫,嬰兒服
子卯毋樂,子卯不樂
子叔,叔姪
子哀,母子
子女,兒女
子娘,子女子
子嫂,妯娌
子胎,胎兒
孔夫聖人,孔子
孔子毋收隔夜帖,孔子不收隔夜帖
孔子毋收隔夜帖,孔子不收隔夜的帖子
孔孔,翹得高高
孔孔,翹起
孔孔碾,在地上打滾
孔孔翹翹,一跛一跛
孔孔翹翹,走路不穩
孔孔翹翹,顛簸不平
孔孔翹翹,顛跛不平
孔孔輾,打滾
孔竅,訣竅
孔肚項,孔裡面
孔肚項,孔裡頭
孔落,孔落下
字墨,學問
字墨,很有學問
字條,便條
字畫,書畫
字簿,作業簿
字簿仔,作業簿
字簿仔,筆記簿
字簿仔,簿子
字約,契約
字紙䉂,字紙簍
字紙亭,聖蹟亭
存款,儲蓄
存而毋論,存而不論
存著,存到
孝妹,孝女
孝妹,孝順女兒
孝杖棍,孝杖
孟一紅娘,孟一紅女子
季節鳥,候鳥
孤寒,孤單心寒
孤寡毋穀,孤寡不穀
孤栖,孤單
孤栖,孤獨
孤栖栖,孤單
孤栖栖,孤獨
孤盲,可惡
孤盲子,混蛋
孤盲絕代,絕子絕孫
孤盲雞,壞雞
孤盲頭,好傢伙
孤盲頭,絕子絕孫
孤老,孤僻
孫仔,孫子
孫嫂,孫媳婦
孫猴,刁鑽
孫猴,孫悟空
孫猴仔,孫悟空
孫郎,孫女婿
孱剁頭,頑皮鬼
孱孱,孱弱
孱孱,養而不長
孱頭,頑皮
孲𤘅仔,嬰兒
孵卵,孵蛋
孵子,孵蛋
學,學習
學了个毋留,學了個不留
學仔佢精,學習仔他精
學做戲,學戲
學喊,學叫
學嘴學鼻,學人說話
學堂,教室
學寮,學生宿舍
學海無涯勤係岸,學海無涯勤是岸
學然後知毋足,學然後知不足
學生仔,學生
學精,增廣見聞
學精,學乖
學精,學聰明
學老,閩南
學老人,閩南人
學老妹,閩南小姐
學老嫲,情婦
學老話,福老語
學老話,閩南話
學老話,閩南語
學而毋厭,學而不厭
學菜,鴨舌草
學著,學到
學著,學穿
學話,傳播謠言
學話,說壞話
學講話,學說話
學金,學費
守正毋回,守正不回
守正毋撓,守正不撓
守正毋移,守正不移
守正毋阿,守正不阿
守毋核,守不住
守節毋回,守節不回
守節毋移,守節不移
安仔,安非他命
安份守己,安分守己
安佢,叫他
安做,叫做
安到,叫做
安到,名叫
安名,取名
安名,命名
安名仔,取名
安培細時,安培小時
安妮个日記,安妮的日記
安徒生博物館,丹麥安徒生博物館
安心,放心
安棧毋得,安層不成
安樂,安好喜樂
安毋忘危,安不忘危
安營紮寨,安營扎寨
安營紮寨,駐兵紮寨
安琪兒,天使
安著,叫做
安身,容身
安鈕仔,縫鈕釦
安鈕仔,裝鈕釦
完全數,完美數
完全細學,完全小學
完包,完包辦
完墳,新墳落成
完工,工程結束
完工,竣工
完日仔,整天
完日仔,整日
完福,酬神還願
完美數,完全數
完聘,完成聘禮
完身仔,全身
完隻,整個
完隻,整隻
完隻仔,整個
宕,花費
宕工,拖延工作
宕工下去,延宕下去
宕工个工作,費工費時的工作
宕睡,睡覺睡過頭
宕睡,睡過頭
官卑職細,官卑職小
官司,訴訟
官場,政界
官差吏差，來人毋差,官差吏差，來人不差
官廳,政府部門
官廳,衙門
官毋威牙爪威,官不威牙爪威
官清吏毋清,官清吏不清
官爺,做官人
官職,公職
官話,國語
官鞋,高靴
定,預訂
定做,訂做
定婚,訂婚
定定,不疾不徐
定定,從容不迫
定定,慢慢
定定,沉著穩定
定定,而已
定定仔,從容不迫
定定仔,慢慢來
定定仔,慢慢地
定定仔,慢慢的
定定仔,沉著穩定的
定定仔,而已
定疊,確定
定著,一定
定著,務必
定著,勢必
定著,確定
定著愛,一定要
定著會,一定會
定講,定說
定貨,訂貨
定貼,妥貼
定貼,完妥
定貼,穩當
定錢,訂金
宛痀,駝背
宛痀無搭蓆,頭尾不能兼顧
宛痀無搭蓆,顧此失彼
客人,客家人
客哥,姘夫
客哥面,小白臉
客家三源流講,客家三源流說
客家國个國父,羅肇錦
客家國國父,羅肇錦
客家莊,客家庄
客家話回答,繁體中文回答
客店,客棧
客店,旅店
客莊,客庄
客莊南向產業交流會,客庄南向產業交流會
客話,客家話
客話,客語
客語,客家語
客語喺,客語嗎
客語無,客語嗎
宣講,宣說
宮廟,寺院
宮廟,廟宇
宮廟脣方,宮廟旁
宮廟脣方,宮廟旁邊
宮廟脣方,宮廟邊
宮廟項,宮廟裡
宮廟項,廟宇裡
害,傷害
害人之心毋可有，防人之心毋可無,害人之心不可有，防人之心不可無
害人毋淺,害人不淺
害子害孫,禍害子孫
害忒,害了
害毋著,錯害
害著,害到
宵夜,消夜
宵細,宵小
家个,家的
家僮仔,僕役
家僮仔,家僮
家務,家事
家娘,婆婆
家官,公公
家家屋屋,家家戶戶
家家屋屋,每家每戶
家家有本難念个經,家家有本難念的經
家庭地圾,家庭垃圾
家有千貫毋如日進分文,家有千貫不如日進分文
家有千金，毋如日進分文,家有千金，不如日進分文
家濟仔,編織提袋
家神透外鬼,吃裡扒外
家祭,家奠
家累千金，坐毋垂堂,家累千金，坐不垂堂
家細,家小
家裡个,家裡的
家貧毋係貧，路貧愁煞人,家貧不是貧，路貧愁煞人
家貧毋係貧，路貧貧殺人,家貧不是貧，路貧貧殺人
家醜毋可外揚,家醜不可外揚
家門毋幸,家門不幸
家雞打个團團轉，野雞打个貼天飛,家雞打的團團轉，野雞打的貼天飛
容毋下,容不下
容縱,縱容
寄付,贈予
寄信仔,寄信
寄岩仔,暫厝
寄雨,躲雨
寄雨,避雨
寅食卯糧,寅吃卯糧
密密,一直
密密,不斷
密密,密集
密密,屢次
密密,連續不斷
密毋可分,密不可分
密毋通風,密不通風
密雲毋雨,密雲不雨
富毋如貧,富不如貧
富罅罅仔,很富有
富而毋驕,富而不驕
富貴毋歸故鄉，如衣繡夜行,富貴不歸故鄉，如衣繡夜行
富貴毋淫,富貴不淫
富貴毋能淫,富貴不能淫
寒,寒冷
寒到,感冒
寒囉囉仔,冷颼颼的
寒囉囉仔,寒冷
寒天,冬天
寒天,冬季
寒天大三角,冬季大三角
寒天著膨線衫當燒暖,冬天穿毛衣很暖和
寒毋擇衣,寒不擇衣
寒毛,汗毛
寒毛菇,短細毛
寒毛菇,細短汗毛
寒毛菇,雞皮疙瘩
寒熱表,溫度計
寒著,感冒
寒著,著涼
寒颼颼仔,冷颼颼的
寡寡,大都是
寡細君,寡小君
寢毋安席,寢不安席
寢毋能寐,寢不能寐
寢毋遑安,寢不遑安
寢食毋安,寢食不安
實在,真是
實在係,實在是
實在慶,實在棒
實在當好,太棒了
實實相報,如實以告
實底,謎底
實毋相瞞,實不相瞞
實疊,紮實
實疊,踏實
實行,實踐
實行,履行
實話,真話
實話實講,實話實說
實講,實說
實額,淨重
寧个,寧個
寧人負𠊎，無𠊎負人,寧人負我，無我負人
寧可信其有，毋可信其無,寧可信其有，不可信其無
寧可無了有，毋可有了無,寧可無了有，不可有了無
寧可玉碎，毋為瓦全,寧可玉碎，不為瓦全
寧可玉碎，毋能瓦全,寧可玉碎，不能瓦全
寧在人前全毋會，莫在人前會毋全,寧在人前全不會，莫在人前會不全
寧塞城門，毋填狗洞,寧塞城門，不填狗洞
寧折毋彎,寧折不彎
寧撞金鐘一下，毋打破鼓三千,寧撞金鐘一下，不打破鼓三千
寧教𠊎負天下人，休教天下人負𠊎,寧教我負天下人，休教天下人負我
寧死毋從,寧死不屈
寧死毋從,寧死不從
寧死毋辱,寧死不辱
寧為玉碎，毋為瓦全,寧為玉碎，不為瓦全
寧為雞口，毋為牛後,寧為雞口，不為牛後
寧買毋值，毋買食啉,寧買不值，不買吃食
寧走十步遠，毋走一步險,寧走十步遠，不走一步險
寧食過頭飯，莫講過頭話,寧吃過頭飯，莫說過頭話
寧食開眉粥，毋食愁眉飯,寧吃開眉粥，不吃愁眉飯
寧養逆子，毋養痴兒,寧養逆子，不養痴兒
寫信仔,寫信
寫啊著,一寫到
寫大字,寫毛筆字
寫大字,書法
寫好好,寫好
寫文章,寫作
寫文章,撰文
寫核,寫完
寫毋正,寫不正
寫畫,塗鴉
寫等,寫著
寫著,寫到
寫講,寫
寬皮講話,寬皮說話
寬緩,寬鬆時間
寬緩,延長時間
寮仔,小屋
寮肚項,寮裡面
寮肚項,寮裡頭
寵辱毋驚,寵辱不驚
寶刀毋老,寶刀不老
寶爐甕,野牡丹
寸甲毋留,寸甲不留
寸絲毋挂,寸絲不挂
寸草毋生,寸草不生
封閉宇宙學講,封閉宇宙學說
封雞封肉,燉雞燉蹄膀
射桶,噴霧器
射桶,澆水壺
射著,射到
將來將去,僵持不下
將在外，君命有所毋受,將在外，君命有所不受
將在謀毋在勇,將在謀不在勇
將就,乾脆
將就,乾脆如此
將就,只好
將就,順其情勢
將恁仔,將這樣
將軍毋下馬，各自奔前程,將軍不下馬，各自奔前程
專專,只有
專專,執意
專專,專一
專工,專程
專案細組,專案小組
專門,故意
尋,尋找
尋,尋求
尋,找
尋,搜尋
尋人,找人
尋仔,尋找仔
尋出,找出
尋出,揪出
尋出來,揪出來
尋去尋轉,來回尋找
尋尾,食髓知味
尋得著,找得到
尋東西,找東西
尋毋到,找不到
尋毋著,找不到
尋毋著,找錯
尋看,找找看
尋看仔,找看看
尋眾,揪眾
尋答案,搜尋答案
尋著,找到
尋頭䌈毋著,找不到頭緒
尋頭䌈毋著,茫無頭緒
尋頭路,找工作
尋頭路,求職
尋食,找食物吃
尋食,覓食
對,對於
對,從
對中,正對著中間
對人死,怨怪別人
對人死,找人出氣
對人毋起,對不起人
對人生死,賴死賴活
對仔,對聯
對付佢,對付他
對佢叫,被他氣哭
對佢噭,對他哭
對佢大喊,對他大喊
對佢死,被他氣死
對佢死,被氣死
對佢表示,對他表示
對句,對仗
對哪來,從哪來
對土地來講,對土地來說
對天頂跌下來,憑空而降
對年,一週年
對年,週年忌日
對手親,姻親關係
對拗,對折
對換,兩相交換
對摺剪,對折剪
對時,二十四小時
對書裡肚,從書本中
對析,剖半
對析,對切
對歲,週歲
對毋上號,對不上號
對毋住,對不住
對毋係,對不是
對毋出,對不出
對毋著,不相配
對毋過,配不上
對湖脣,從湖邊
對爿,左右兩半
對答,對唱
對落去,對下去
對著,對到
對裡肚,從中
對親,成親
對親,結親
對豐富,從豐富
對這下開始,從此以後
對面毋見人,對面不見人
對面烏,破布子
對面黑,破布子
對頭,對手
對頭,對象
對𠊎來講,對我來說
小人仔,小人
小使仔,工友
小可,稍微
小可仔,稍微的
小可仔,輕微的
小啄樹鳥,小啄木
小娘姑,丈夫之妹
小娘姑,小姑
小琉球,琉球嶼
小白鶴仔,小白鷺
小粒,小顆
小約翰．史特勞斯,小約漢．史特勞斯
小紅花,紅花鼠尾草
小罐牛奶粉,7-11
小葉楠,香楠
小葉雞油,紅雞油
小號奶兒草,小飛揚草
小號硬釘樹,土密樹
小號老鴨胗,血藤
小郎叔,丈夫之弟
小金英,兔兒草
小食店,小吃店
少一息,少一些
少人一身債,欠人很多債
少人錢,欠人錢財
少壯毋努力，老大徒傷悲,少壯不努力，老大徒傷悲
少少,一點點
少年維特个煩惱,少年維特的煩惱
少年郎,少年
少年郎,年輕男子
少撇,少掉
少毋了,少不了
少毋得,少不得
少細,少小
少著,欠
少著个,少的
少食無著,少吃無著
尖,尖銳
尖,擁擠
尖,擠
尖人,擠人
尖來尖去,擠來擠去
尖公司,擠公車
尖共下,擠在一起
尖尖,尖銳
尖尖,銳利
尖尖長長,尖尖長長的
尖尾龜背鳥,針尾鷸
尖尾濫泥鳥,尖尾鷸
尖把,夾克
尖牙利齒,尖銳
尖牙利齒,尖銳物
尖牙利齒,尖銳的
尖緪緪,擠得緊緊
尖縮,擠壓
尖膩膩,銳利
尖落去,強力插入
尖觜鉗仔,尖嘴鉗子
尖車,擠車
尚勝,得寸進尺
尚勝,恃寵而嬌
尞,休息
尞,休閒
尞,玩
尞天穿,天穿日休息
尞尞,散心
尞尞,玩玩
尞尞仔,休息休息
尞日,假日
尞暑假,放暑假
尞涼,乘涼
尞當晝,午休
尤加利,大葉桉
尤加利樹,桉樹
就,便
就,則
就係,則是
就係,就是
就係,正是
就係,而是
就係,莫過於
就像,似乎
就像,例如
就像,就好比
就同,就和
就同,就幫
就同,就把
就同,就跟
就就个,就就的
就忒,就太
就恁形,就這麼形
就愛,就得
就愛,就要
就摎,就把
就毋知,就不知道
就算,即使
就算,即便
就算係,那怕是
就著,就穿
就較,就比較
就近,在附近
尺,臺尺
尺規畫圖,尺規作圖
尼姑,比丘尼
尾,條
尾㘝㘝,落荒而逃
尾下,後來
尾仃仃,尾巴豎立
尾來,後來
尾擸擸仔,尾巴下垂
尾擺,最後一次
尾枋車,尾班車
尾瀉屎,跑得很快
尾瀉屎,跑得飛快
尾站,尾聲
尾翼,尾鰭
尾蹀蹀仔,得意
尾項,尾巴
尾項,尾部
尾項,後來
尾項,後方
尾項,後面
尾頭,尾端
尾頭,最後面
尿出,尿急
尿出,有尿意
尿墊仔,尿布
尿布仔,尿片
尿桶肚,尿桶裡
尿水,不可能
尿水,都沒有
尿泡,膀胱
尿當出,尿很急
尿當出,尿急
尿素,肥料
尿脬,膀胱
尿裙,尿片
局促毋安,局促不安
局蹐毋安,局蹐不安
屁卵,屁
屁卵,屁話
屁卵嗊天,屁聲連連
屁股裡食人參,屁股裡吃人參
居之毋疑,居之不疑
居仲,居中
居大毋易,居大不易
居毋重席,居不重席
居毋重茵,居不重茵
居高毋下,居高不下
屋下,家
屋下,家屋
屋下,家裏
屋下,家裡
屋下人,家人
屋下人,家裡人
屋下肚,家裡
屋下肚,家裡面
屋下肚項,家裡面
屋下門口,家門口
屋主,屋主或房東
屋主,房東
屋主人,屋主
屋主人,房東
屋仔,房子
屋仔,房屋
屋側角,屋角
屋外背,房屋外
屋契,房契
屋家,家
屋家,家裡
屋家人,家人
屋家人,家裡人
屋峎,屋脊
屋後背,房屋後面
屋棟,屋脊
屋棟樑項,屋樑上
屋稅,房屋稅
屋稅,房租
屋稅錢,房租
屋稅錢,租金
屋簷溝,屋簷下的水溝
屋簷頭下,屋簷下
屋簷鳥,麻雀
屋肚,家裡面
屋肚,屋內
屋肚,屋裡
屋背,屋後
屋背後,房屋後面
屋背角項,屋後角落地方
屋脣,屋旁
屋脣屋角,房屋四周
屋脣方,房屋旁邊
屋脣項,房屋旁邊
屋舍,房舍
屋蓋頂,屋頂
屋裡个,屋裡的
屋角鳥,藍磯鶇
屋門,家門
屋面前,屋前
屋面前,房屋前面
屋頂項,屋頂上
屌厥,屌他的
屌厥姆,屌他的姆
屌厥姆膣,屌他的姆膣
屌著,屌穿
屎出,有便意
屎出挖糞窖,臨時抱佛腳
屎哱哱,跩兮兮
屎多狗飽,無用
屎摒仔,擦屁股的竹片
屎朏,屁股
屎朏,臀部
屎朏坐著屎,屁股坐到屎
屎朏孔孔,屁股翹得高高
屎朏斗,臀部
屎桶,糞桶
屎烏蠅,紅頭蒼蠅
屎烏蠅,麗蠅
屎窖,糞坑
屎窟,糞坑
屎糞,糞便
屎缸,糞缸
屎缸,茅坑
屎缸下,糞缸下方
屎缸蟲,蛆
屎缸蟲,蛆蟲
屎缸鳥,紫嘯鶇
屎背,背後
屎背尾,屁股後面
屎背尾,背後
屎背尾,身後
屎胐,屁股
屎胐孔孔,屁股翹翹
屎胐斗,臀部
屎胐片,屁股邊
屎胐片項,屁股邊上
屎蛄仔,糞金龜
屐仔,木屐
屐頭那,屈指敲頭
展寶,炫耀
展寶,現寶
展手路,顯身手
展袋仔,展袋子
展風神,出鋒頭
展風神,愛現
屙下來,塌下來
屙去,排泄去
屙尿,小便
屙尿,尿尿
屙尿,排尿
屙尿,解尿
屙屎,大便
屙屎,解大便
屙屎屎胐癢,拉屎屁股癢
屙屙,排排
屙屙不不,很骯髒
屙屙仔,拉一拉
屙忒,排掉
屙掖廷个,排泄撒廷的
屙毋得,排泄不成
屙泥橫壁,滿地爛泥
屙泥落石,土石流
屙淨淨,塌光光
屙淨淨,拉光光
屙淨淨,拉得一乾二淨
屙瀉巴,拉肚子
屙瀉粑,瀉肚子
屙痢屙肚,胡吹亂蓋
屙痢肚,拉肚子
屙痢肚,瀉肚子
屙粑,草率
屙糟,骯髒
屙糟,髒
屙糟齋,嘮叨
屙膿□血,荒誕虛假
屙膿滑痢,胡吹亂蓋
屙落,排下
屢教毋改,屢教不改
屢見毋鮮,屢見不鮮
屢試毋爽,屢試不爽
層層疊疊,重重疊疊
屯泥,填土
山䟘,山起身
山仔項,山上
山仔項,山裡
山伴鳥,岩鷚
山參仔,土人參
山吊菜仔,曼陀羅
山地豆,直立假地豆
山坑,山溝
山坑,山谷
山埔姜,揚波
山壢,小峽谷
山大人,筆筒樹
山娘,藍鵲
山屋簷鳥,山麻雀
山峎,山稜線
山布驚,山埔姜
山弓蕉,臺灣芭蕉
山排,山坡
山排,山坡地
山排,山腰
山排田,梯田
山杜仲,大丁黃
山枇杷,水冬瓜
山林壁角,山林僻處
山柑藤,飛龍掌血
山核桃,臺灣胡桃
山桐仔,梧桐
山桔仔,橘柑
山桔仔,飛龍掌血
山棕仔,山棕
山楂,臺灣山蘋果
山歌溜天,山歌嘹喨
山毋轉路轉,山不轉路轉
山湖蜞,螞蝗
山漆莖,紅仔珠
山煙仔,山煙草
山片,山邊
山牛屎鶺,山鶺鴒
山牛牯,天牛
山牛眼,山龍眼
山狗太,四腳蛇
山狗太,攀木蜥蜴
山狗太,蜥蜴
山狗太,黃口攀蜥
山猴仔,哥兒
山甘草,燈稱花
山田仔,旱田
山窩,山坳
山精,土包子
山精,鄉巴佬
山紅草,大頭艾納香
山紅草,昭和草
山紅菜,大頭艾納香
山肚,山裡
山肚裡,山裡
山背,山後
山背,山後面
山背,山的那一邊
山背,後山
山背項,山的後面
山芋仔,姑婆芋
山芋兒,姑婆芋
山芋荷,姑婆芋
山芥菜,葶藶
山芹菜,三葉芹
山芹菜,鴨兒芹
山苦瓜,小苦瓜
山苦蕒,兔兒草
山苦蕒,臺灣山苦蕒
山苧,山苧麻
山茶,山茶花
山菸兒,山菸草
山葡萄,細葉山葡萄
山薑嫲,三奈
山蟻公,黑色大型螞蟻
山豬學食糠,外行充內行
山貓,石虎
山鋤仔,山鋤
山阿啾箭,小卷尾
山阿鵲,喜鵲
山阿鵲,樹鵲
山雞仔,藍腹鷴
山頂尞,山頂玩
山頂項,山頂上
山頂高,山頂上
山項,山上
山項人,山上的人
山頭項,山頭上
山高遮毋住太陽,山高遮不住太陽
山魯萁,筆筒樹
山鰱仔,臺灣馬口魚
山龍鱗草,疏葉卷柏
山串針仔,斑紋鷦鶯
山龜背鳥,山鷸
屹立毋搖,屹立不搖
屻崗,山陵
岐嶷,聰明能幹
岐嶷,聰穎
岐嶷,能幹
岔線,岔開話題
岔線,線畫歪
岩岩讒讒,又乾又瘦
岩岩讒讒,又瘦又乾
峎背,山脊背後
峨眉月,眉形月
崁下,崖下
崁下,懸崖
崁下,懸崖下
崁下項,懸崖下
崁坪下,崁坪下方
崁腳,坎崖下方
崁頂莊莊頭,崁頂庄庄頭
崁頭,崖頭
崁頭脣,崖頭脣
崎下,坡底
崎下,斜坡底
崎嶇毋平,崎嶇不平
崎當嶇,坡很陡
崎頂,坡頂
崎項,坡上
崠頂,山巔
崠頂,巔峰
崩壁,山壁崩塌
崩壁位,崩塌牆位
崩山,山崩
崩山下莊頭,崩山下庄頭
崩岡㪐屻,山崩石落
崩崗,懸崖
崩崗,斷崖
崩崗崁,懸崖
崩崗石壁,懸崖峭壁
崩崗脣,懸崖旁邊
崩崗脣,懸崖邊
崩巖,懸崖
崩忒,崩塌掉
崩撇,崩塌掉
嵬然毋動,嵬然不動
嵬講,嵬說
嶄然,十分
嶄然,相當
嶄然慶,十分能幹
巖頭,前額突出
川七,泉七
川七,洋落葵
巡巡,查看
工作,職業
工作服,工作制服
工作細組,工作小組
工夫,周到
工夫,細心周到
工藝師傅,工匠
工錢,工資
工錢,薪資
左右係左右,左右是左右
左手向,左手邊
左手析,左手邊
左手毋托右手,左手不托右手
左手片,左邊
左手𥯟仔,左撇子
左斡,左轉
左析,左邊
左毋係，右毋係,左不是，右不是
左毋過,左不過
左片,左邊
左狹右闊,左窄右寬
左邊片,左邊
左鄰右舍,鄰居
左闊右狹,左寬右窄
巧偽毋如拙誠,巧偽不如拙誠
巧婦做毋得無麵餺飥,巧婦做不得無麵餺飥
巧媳婦煮毋得沒米粥,巧媳婦煮不得沒米粥
巧毋可階,巧不可階
巧詐毋如拙誠,巧詐不如拙誠
巧講,巧說
差一屑,差一點
差一屑無要緊,差一點點沒關係
差一息仔,差了點
差一息仔,差點兒
差一息仔,幾乎
差人,差遣人
差仔,小弟
差仔,差役
差別,區別
差別,差異
差多仔,差多了
差多仔,差得遠
差毋上下,差不上下
差毋多,差不多
差毋離,差不離
差無多,差不多
差錯,錯誤
己所毋欲，勿施於人,己所不欲，勿施於人
已像,很像
已多,很多
已好笑神,很愉快
已好笑神,很愉悅
已好笑神,很有笑容
已早,很早
已晟光,很透光
已而毋登,已而不登
已著,很對
巴士,公共汽車
巴士,公車
巴巴兒个,巴巴兒的
巴掌嫲,手掌
巴斯打隘,矮靈祭
巴毋得,巴不得
巴毋得一聲兒,巴不得一聲兒
巴氏沙蔗白尾鳥,葦鵐
巴爾个摩,巴爾的摩
巴黎現代美術館,法國巴黎現代美術館
巴丹青尛仔,巴丹綠繡眼
巷仔,巷子
巷路,走廊
市井細人,市井小人
市井細民,市井小民
市場項,市場上
市毋二價,市不二價
市毋豫價,市不豫價
布仔,布
布墊仔,墊布
布截仔,碎布塊
布拉母斯,布拉姆斯
布疋,布匹
布碎,碎布
布碎仔,碎布
布碎片,碎布塊
布篷,布棚
布粹,剩下的布
布粹,碎布
布荊仔,黃荊
布衣細民,布衣小民
布袋戲,掌中戲
布袋戲人公仔,布袋戲偶
布驚樹,黃荊
希望細學,希望小學
帕仔,毛巾
帖,帖子
師仔,徒弟
師傅話,歇後語
師父領進門，修行在个人,師父領進門，修行在個人
席店,飲食店
席面,酒席
帶个好,帶個好
帶仔,帶子
帶嚇帶嚇仔,語帶恐嚇
帶嚇帶罵,又嚇又罵
帶壞帶樣,做壞榜樣
帶壞帶樣,壞的示範
帶核,帶緊
帶條个,帶條的
帶等,帶著
帶等,帶領
帶等,率領
帶胎,攜帶胎
帶著,帶到
帶行帶走,連走帶跑
帶路雞,領頭人
帶轉,帶回
帶領,引領
帶頭,帶領
帷蓋毋棄,帷蓋不棄
帷薄毋修,帷薄不修
常下,常下方
常備毋懈,常備不懈
常山,華八仙
常常,經常
常溫動物,內溫動物
常溫動物,恆溫動物
帽下方,帽子下方
帽仔,帽子
帽仔頓,磨盤草
帽肚項,帽裡頭
帽頓草,磨盤草
帽頓草仔,磨盤草
幅員,疆域
幌上幌下,晃上晃下
幌毋出,幌不出
幪等,覆蓋
幫个場子,幫個場子
幫墊,補貼
幫幫撥撥,繁瑣
幫幫撥撥,繁瑣麻煩
幫狗食啉,幫狗吃食
幫虎食啉,幫虎吃食
幫襯,捧場
幫襯,陪襯
幫貼,補貼
幫過,擦撞過
幫過,擦過
干你麼个事,干你什麼事
干支,天干地支
干涉,干預
干礙,冒犯妨礙
平,平坦
平原項,平原上
平和,安寧詳和
平地上起一个霹靂,平地上起一個霹靂
平多,一樣多
平大,一樣大
平安就係福,平安就是福
平常,平日
平常,平時
平常,普通
平平,一樣
平平,一視同仁
平平,平坦
平平,平順
平平,平順無波
平心,公平
平方公丈,平方公丈-
平方公分,平方厘米
平方公寸,平方公寸-
平方公引,平方公引-
平方公里,平方千米
平方千米,平方公里
平方厘米,平方公分
平毋答个,平不答的
平洋,寬闊平坦
平洋,平原
平洋,平順
平洋洋仔,寬闊平坦
平生毋做虧心事,平生不做虧心事
平生莫做虧心事，半夜敲門毋喫驚,平生莫做虧心事，半夜敲門不喫驚
平等个精義,平等的精義
平長,一樣長
平面座標,平面坐標
平高平大,高低大小都一樣
平鼻,平鼻子
年三十,除夕
年三十暗晡,除夕夜
年三夜四,年關緊迫
年三夜四,忙碌時刻
年三夜四,要過年了
年下,年終
年下,年關
年下仔,快過年時
年冬,年尾
年冬,收成
年初一,大年初一
年少,年紀輕
年尾,年底
年屆毋惑,年屆不惑
年年,每一年
年年,每年
年毋如年,年不如年
年生,年級
年節,節日
年節,逢年過節
年紀,年歲
年紀,年華
年紀,年齡
年紀老,年紀大
年老,年紀老大
年華,年歲
年華,年紀
年視年,一年接著一年
年視年,年復一年
年長月久,經年累月
幸毋辱命,幸不辱命
幸運,好運
幹个停當,幹的停當
幻燈機,投影機
幻象劇,黑光劇
幼,細
幼工,作工細緻
幼布,細布
幼幼,小小
幼幼,細細
幼幼,細細的
幼幼,細緻
幼幼仔,小小的
幼幼仔,微小的
幼幼仔,細細的
幼幼條,小小條
幼料,細緻料
幼皮白肉,細皮嫩肉
幼秀,清秀
幼秀,清秀脫俗
幼秀,秀氣
幼秀,精細
幼稚園,幼兒園
幼糠,細緻糠
幼細,幼小
幼缶仔,瓷器
幼調節輪,細調節輪
幼骨,嬌小
幼骨,細骨
幼鹽,細鹽
幾,多麼
幾下,好幾
幾下個月,好幾個月
幾下擺,好幾次
幾下日,好幾天
幾下百著,幾下方百穿
幾久,多久
幾儕,幾個人
幾儕人,幾個人
幾兒个,幾兒個
幾十年,好幾十年
幾千萬,好幾千萬
幾多,多少
幾多儕,多少人
幾多儕,幾位
幾多年,幾年
幾多磅電,多少磅電
幾多錢,多少錢
幾多領,多少件
幾多領,幾件
幾多點,幾點
幾多點幾多分,幾點幾分
幾大,多大
幾好,多好
幾慶,多厲害
幾慶,多能幹
幾擺,幾次
幾時,什麼時候
幾時,何時
幾會,多會
幾毋精,幾不精
幾貴,多貴
幾遠,多遠
幾長,多長
幾闊,多寬
幾隻,幾個
幾難行,多難走
床公婆,床神
序言,序文
底,底部
底下,下面
底下,底部
底方,裡面
底肚,裡面
底背,裡面
底背肚,裡面
底背項,裡面
底衫仔,內衣
底衫仔,汗衫
底裙仔,襯裙
底褲仔,內褲
店亭下,店門前
店亭下,騎樓下
店仔,商店
店仔,店鋪
店仔街莊頭,店仔街庄頭
店細二,店小二
店肚,店裡
店項,店裡
店頭,商店
店頭,店家
店頭家,商店的主人
店頭家,店主
店頭家,店主人
店頭家,老闆
府細吏,府小吏
度毋著,度不對
度細月,度小月
座定敗,一定輸
座定贏,一定贏
座後背,在後面
座標平面,坐標平面
座湖,在低窪地
座背後,在後頭
座落尾,殿後
座贏面,取得贏的一邊
座酒,溫酒
座頂高,在上方
座頭前,在前頭
座食莫座爽,把食物吃掉別浪費
庰人尋,捉迷藏
庵堂,尼姑庵
康健,健康
廊仔下,走廊
廊仔下,騎樓
廖屋个,廖屋的
廚仔,櫥子
廚仔,櫥櫃
廟公,廟祝
廟坪前看戲,廟口前看戲
